Date,Close,,,,,
2001-10-01,948.19,,,,,
2001-09-01,1009.94,,,,,
2001-08-01,,,,,,
2001-07-01,1060.17,,,,,
2001-06-01,1078.83,,,,,
2001-05-01,1153.57,,,,,
2001-04-01,1118.76,,,,,
2001-03-01,1075.17,,,,,
2001-02-01,1194.63,,,,,
2001-01-01,1211.43,,,,,
2000-12-01,1210.53,,,,,
2000-11-01,,,,,,
2000-10-01,1261.5,,,,,
2000-09-01,1308.01,,,,,
2000-08-01,1370.97,,,,,
2000-07-01,1389.23,,,,,
2000-06-01,1390.05,,,,,
2000-05-01,1317.03,,,,,
2000-04-01,1421.05,,,,,
2000-03-01,1383.94,,,,,
2000-02-01,,,,,,
2000-01-01,1334.47,,,,,
1999-12-01,1405.07,,,,,
1999-11-01,1333.18,,,,,
1999-10-01,1197.4,,,,,
1999-09-01,1259.83,,,,,
1999-08-01,1191.55,,,,,
1999-07-01,1269.73,,,,,
1999-06-01,1188.6,,,,,
1999-05-01,,,,,,
1999-04-01,1237.11,,,,,
1999-03-01,1174.08,,,,,
1999-02-01,1134.8,,,,,
1999-01-01,1154.05,,,,,
1998-12-01,1078.4,,,,,
1998-11-01,1055.46,,,,,
1998-10-01,908.27,,,,,
1998-09-01,955.54,,,,,
1998-08-01,,,,,,
1998-07-01,1088.83,,,,,
1998-06-01,1072.12,,,,,
1998-05-01,1085.37,,,,,
1998-04-01,,,,,,
1998-03-01,1037.8,,,,,
1998-02-01,,,,,,
1998-01-01,946.16,,,,,
1997-12-01,921.87,,,,,
1997-11-01,,,,,,
1997-10-01,901.61,,,,,
1997-09-01,927.97,,,,,
1997-08-01,,,,,,
1997-07-01,981.84,,,,,
1997-06-01,941.39,,,,,
1997-05-01,856.04,,,,,
1997-04-01,,,,,,
1997-03-01,831.88,,,,,
1997-02-01,,,,,,
1997-01-01,829.08,,,,,
1996-12-01,820.36,,,,,
1996-11-01,,,,,,
1996-10-01,791.75,,,,,
1996-09-01,787.44,,,,,
1996-08-01,,,,,,
1996-07-01,751.45,,,,,
1996-06-01,780.2,,,,,
1996-05-01,,,,,,
1996-04-01,777.93,,,,,
1996-03-01,761.18,,,,,
1996-02-01,,,,,,
1996-01-01,746.45,,,,,
1995-12-01,734.28,,,,,
1995-11-01,,,,,,
1995-10-01,691.6,,,,,
1995-09-01,703.8,,,,,
1995-08-01,,,,,,
1995-07-01,701.69,,,,,
1995-06-01,669.32,,,,,
1995-05-01,670.63,,,,,
1995-04-01,,,,,,
1995-03-01,644.67,,,,,
1995-02-01,616.07,,,,,
1995-01-01,,,,,,
1994-12-01,618.59,,,,,
1994-11-01,613.68,,,,,
1994-10-01,,,,,,
1994-09-01,625.81,,,,,
1994-08-01,643.74,,,,,
1994-07-01,,,,,,
1994-06-01,615.19,,,,,
1994-05-01,617.91,,,,,
1994-04-01,,,,,,
1994-03-01,599.74,,,,,
1994-02-01,627.79,,,,,
1994-01-01,,,,,,
1993-12-01,598.5,,,,,
1993-11-01,571.49,,,,,
1993-10-01,,,,,,
1993-09-01,591.44,,,,,
1993-08-01,603.58,,,,,
1993-07-01,,,,,,
1993-06-01,567.29,,,,,
1993-05-01,573.07,,,,,
1993-04-01,,,,,,
1993-03-01,537.2,,,,,
1993-02-01,508.67,,,,,
1993-01-01,,,,,,
1992-12-01,497.13,,,,,
1992-11-01,494.11,,,,,
1992-10-01,,,,,,
1992-09-01,500.95,,,,,
1992-08-01,506.64,,,,,
1992-07-01,495.64,,,,,
1992-06-01,,,,,,
1992-05-01,513.67,,,,,
1992-04-01,494.99,,,,,
1992-03-01,,,,,,
1992-02-01,514.4,,,,,
1992-01-01,524.45,,,,,
1991-12-01,,,,,,
1991-11-01,499.99,,,,,
1991-10-01,523.82,,,,,
1991-09-01,,,,,,
1991-08-01,504.2,,,,,
1991-07-01,506.78,,,,,
1991-06-01,,,,,,
1991-05-01,517.76,,,,,
1991-04-01,507.24,,,,,
1991-03-01,,,,,,
1991-02-01,520.57,,,,,
1991-01-01,477.39,,,,,
1990-12-01,,,,,,
1990-11-01,453.05,,,,,
1990-10-01,461.64,,,,,
1990-09-01,,,,,,
1990-08-01,474.13,,,,,
1990-07-01,524.18,,,,,
1990-06-01,520.41,,,,,
1990-05-01,,,,,,
1990-04-01,475.92,,,,,
1990-03-01,483.82,,,,,
1990-02-01,,,,,,
1990-01-01,539.94,,,,,
1989-12-01,567.34,,,,,
1989-11-01,,,,,,
1989-10-01,530.23,,,,,
1989-09-01,549.42,,,,,
1989-08-01,,,,,,
1989-07-01,549.29,,,,,
1989-06-01,494.29,,,,,
1989-05-01,,,,,,
1989-04-01,514.19,,,,,
1989-03-01,503.41,,,,,
1989-02-01,,,,,,
1989-01-01,511.51,,,,,
1988-12-01,494.43,,,,,
1988-11-01,,,,,,
1988-10-01,475.07,,,,,
1988-09-01,446.17,,,,,
1988-08-01,,,,,,
1988-07-01,454.48,,,,,
1988-06-01,446.84,,,,,
1988-05-01,,,,,,
1988-04-01,458.16,,,,,
1988-03-01,453.23,,,,,
1988-02-01,440.68,,,,,
1988-01-01,,,,,,
1987-12-01,407.99,,,,,
1987-11-01,391.76,,,,,
1987-10-01,,,,,,
1987-09-01,485.4,,,,,
1987-08-01,494.7,,,,,
1987-07-01,,,,,,
1987-06-01,459.24,,,,,
1987-05-01,460.18,,,,,
1987-04-01,,,,,,
1987-03-01,435.35,,,,,
1987-02-01,410.59,,,,,
1987-01-01,,,,,,
1986-12-01,356.83,,,,,
1986-11-01,350.46,,,,,
1986-10-01,,,,,,
1986-09-01,343.35,,,,,
1986-08-01,358.26,,,,,
1986-07-01,,,,,,
1986-06-01,328.04,,,,,
1986-05-01,315.98,,,,,
1986-04-01,,,,,,
1986-03-01,309.6,,,,,
1986-02-01,282.57,,,,,
1986-01-01,,,,,,
1985-12-01,256.51,,,,,
1985-11-01,245.57,,,,,
1985-10-01,,,,,,
1985-09-01,221.7,,,,,
1985-08-01,220.59,,,,,
1985-07-01,219.31,,,,,
1985-06-01,,,,,,
1985-05-01,212.13,,,,,
1985-04-01,202.24,,,,,
1985-03-01,,,,,,
1985-02-01,196.96,,,,,
1985-01-01,197.06,,,,,
1984-12-01,,,,,,
1984-11-01,183.85,,,,,
1984-10-01,185.01,,,,,
1984-09-01,,,,,,
1984-08-01,184.68,,,,,
1984-07-01,168.27,,,,,
1984-06-01,,,,,,
1984-05-01,173.85,,,,,
1984-04-01,188.45,,,,,
1984-03-01,,,,,,
1984-02-01,181.54,,,,,
1984-01-01,185.04,,,,,
